1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20250522" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.9999999999999998E-001 6.4485933578467114E-001 7.8478466423722382E-001 3.5304519200538693E+000 5.4782372064114453E+000 -1.9209209765949522E+000 1.1668505181031525E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784179734804E+000 8.5000496627254141E-001 2.0370768812282908E+001 0.0000000000000000E+000 3.3666314025645191E+005 3.4913672218420696E+004 4.5307558500780112E+008 -2.0153338914625767E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153338914625767E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203460655334E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3857743579272810E-012
2 2.2000000000000003E-005 1.9999999999999993E-001 6.4420037919934903E-001 7.8478195703862053E-001 3.5302885345068402E+000 5.4782372140582263E+000 -1.9209209647129335E+000 1.1668505200798185E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784168590607E+000 8.5000496627254141E-001 2.0370768812964865E+001 0.0000000000000000E+000 3.3665999235879246E+005 3.4966905036418917E+004 4.5376356003017300E+008 -2.0153338975515698E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153338975515698E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203521545236E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3786588047877340E-012
3 3.6400000000000004E-005 1.9999999999999984E-001 6.4344606860224518E-001 7.8477879685786067E-001 3.5301015369479440E+000 5.4782372228017815E+000 -1.9209209511266889E+000 1.1668505223399958E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784155848071E+000 8.5000496627254163E-001 2.0370768813744743E+001 0.0000000000000000E+000 3.3665631777621573E+005 3.5027945462469259E+004 4.5455237060491484E+008 -2.0153339042517416E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339042517416E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203588546926E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3704704574080705E-012
4 5.3680000000000001E-005 1.9999999999999979E-001 6.4258896976726110E-001 7.8477512474760591E-001 3.5298890982943254E+000 5.4782372327291080E+000 -1.9209209357010297E+000 1.1668505249061738E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784141380373E+000 8.5000496627254141E-001 2.0370768814630207E+001 0.0000000000000000E+000 3.3665204798465007E+005 3.5097439638395590E+004 4.5545033504862076E+008 -2.0153339114999280E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339114999280E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203661028747E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3611117639282555E-012
5 7.4416000000000000E-005 1.9999999999999971E-001 6.4162304911996160E-001 7.8477087985268768E-001 3.5296497405799601E+000 5.4782372439101712E+000 -1.9209209183272422E+000 1.1668505277964380E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784125085505E+000 8.5000496627254163E-001 2.0370768815627628E+001 0.0000000000000000E+000 3.3664711224812327E+005 3.5175931050636820E+004 4.5646443605564338E+008 -2.0153339191750238E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339191750238E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203737779662E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3504965723951561E-012
6 9.9299199999999986E-005 1.9999999999999957E-001 6.4054431725718264E-001 7.8476600130867236E-001 3.5293824968862726E+000 5.4782372564015063E+000 -1.9209208989174826E+000 1.1668505310254027E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784106881240E+000 8.5000496627254163E-001 2.0370768816741791E+001 0.0000000000000000E+000 3.3664143982772704E+005 3.5263808283915248E+004 4.5759964451726383E+008 -2.0153339270973525E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339270973525E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203817002897E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3385574987269929E-012
7 1.2915903999999998E-004 1.9999999999999940E-001 6.3935147976383777E-001 7.8476043079616054E-001 3.5290870727691925E+000 5.4782372702273863E+000 -1.9209208774340361E+000 1.1668505345993413E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784086732096E+000 8.5000496627254163E-001 2.0370768817975001E+001 0.0000000000000000E+000 3.3663496295296517E+005 3.5361250901958090E+004 4.5885821981577981E+008 -2.0153339349906570E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339349906570E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203895935878E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3252538402307647E-012
8 1.6499084799999998E-004 1.9999999999999923E-001 6.3804653129837519E-001 7.8475411554508900E-001 3.5287639932783628E+000 5.4782372854037176E+000 -1.9209208538521785E+000 1.1668505385223668E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784064614917E+000 8.5000496627254141E-001 2.0370768819328781E+001 0.0000000000000000E+000 3.3662762031606655E+005 3.5468178337071862E+004 4.6023904978158051E+008 -2.0153339425037366E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339425037366E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203971066595E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3105793968018910E-012
9 2.0798901759999997E-004 1.9999999999999901E-001 6.3663521631447884E-001 7.8474701176261630E-001 3.5284147164236250E+000 5.4782373019202337E+000 -1.9209208281878747E+000 1.1668505427918243E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389784040544820E+000 8.5000496627254141E-001 2.0370768820802049E+001 0.0000000000000000E+000 3.3661936105828470E+005 3.5584207843047996E+004 4.6173710890583396E+008 -2.0153339491819590E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339491819590E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551204037848731E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.2945693658250538E-012
